1,16,6
2,32,12
3,52,19
4,75,28
5,103,38
6,136,51
7,179,67
8,231,86
9,295,110
10,372,139
11,466,174
12,578,216
13,711,266
14,867,325
15,1049,393
16,1260,472
17,1503,563
18,1780,667
19,2096,786
20,2452,919
21,2854,1070
22,3304,1238
23,3807,1426
24,4364,1636
25,4983,1868
26,5664,2124
27,6415,2404
28,7238,2714
29,8138,3050
30,9120,3420
31,10188,3820
32,11347,4255
33,12602,4725
34,13959,5234
35,15423,5783
36,16998,6374
37,18692,7009
38,20508,7690
39,22452,8419
40,24532,9199
41,26753,10032
42,29121,10920
43,31642,11865
44,34323,12871
45,37169,13938
46,40188,15070
47,43388,16270
48,46773,17540
49,50352,18882
50,54132,20299
51,58120,21795
52,62324,23371
53,66750,25031
54,71407,26777
55,76303,28613
56,81444,30541
57,86840,32565
58,92500,34687
59,98430,36911
60,104640,39240
61,111136,41676
62,117931,44224
63,125031,46886
64,132444,49666
65,140183,52568
66,148253,55595
67,156666,58749
68,165430,62036
69,174556,65458
70,184052,69019
71,193930,72723
72,204198,76574
73,214868,80575
74,225948,84730
75,237449,89043
76,249383,93518
77,261760,98160
78,274589,102971
79,287884,107956
80,301652,113119
81,315908,118465
82,330662,123998
83,345924,129721
84,361708,135640
85,378023,141758
86,394882,148080
87,412297,154611
88,430280,161355
89,448844,168316
90,468000,175500
91,487760,182910
92,508137,190551
93,529145,198429
94,550796,206548
95,573103,214913
96,596078,223529
97,619735,232400
98,644088,241533
99,669149,250931
100,694932,260599
101,721452,270544
102,748722,280770
103,776755,291283
104,805566,302087
105,835169,313188
106,865579,324592
107,896809,336303
108,928876,348328
109,961792,360672
110,995572,373339
111,1030234,386337
112,1065190,399671
113,1102256,413346
114,1139649,427368
115,1177983,441743
116,1217273,456477
117,1256104,471576
118,1298787,487045
119,1341043,502891
120,1384320,519120
121,1428632,535737
122,1473999,552749
123,1520435,570163
124,1567957,587984
125,1616583,606218
126,1666328,624873
127,1717211,643954
128,1769248,663468
129,1822456,683421
130,1876852,703819
131,1932456,724671
132,1989284,745981
133,2047353,767757
134,2106682,790005
135,2167289,812733
136,2229192,835947
137,2292410,859653
138,2356960,883860
139,2422861,908573
140,2490132,933799
141,2558792,959547
142,2628860,985822
143,2700356,1012633
144,2773296,1039986
145,2847703,1067888
146,2923593,1096347
147,3000989,1125371
148,3079908,1154965
149,3160372,1185139
150,3242400,1215900
151,6652022,2494508
152,6822452,2558419
153,6996132,2623549
154,7173104,2689914
155,7353406,2757527
156,11305620,4239607
157,11586254,4344845
158,11872072,4452027
159,12163140,4561177
160,12459518,4672319
161,15033471,450041
162,15315219,4594563
162,15600468,4680138
164,15889236,4766769
165,16181550,4854465
166,16477425,4943226
167,16776885,5033064
168,17079954,5123985
169,17386650,5215995
170,17697000,5309100
171,24014692,7204407
172,24438308,7331490
173,24866880,7460064
174,25300432,7590129
175,25739000,7721700
176,32728255,9818475
177,33289095,9986727
178,33856310,10156893
179,34492930,10328979
180,40842000,12252600
